trader_name,owner_name,license_number,latitude,longitude,inspection_status,instrument_type
Brakus LLC Pharma Labs,Casey Boyle III,LMO/2026/10219,28.366138,76.682137,Passed,Automatic Gravimetric Filling Scale
Kilback - Ferry Supermarket,Violet Nolan,LMO/2026/10220,28.333742,77.106480,Passed,Weighbridge
Blick and Sons Jewellers,Walter Romaguera V,LMO/2026/10221,29.586399,76.511274,Passed,Electronic Counter Scale
Dibbert - Sipes Supermarket,Art Langworth,LMO/2026/10222,28.568227,77.007704,Pending,Automatic Gravimetric Filling Scale
Schaden Group Dairy & Sweets,Opal Schuster,LMO/2026/10223,29.583463,76.640492,Passed,Platform Scale
Beatty Leannon and Schowalter Jewellers,Mallie Leuschke,LMO/2026/10224,28.663647,76.568769,Passed,Fuel Dispenser
Runolfsdottir Inc Fertilizers & Agro Chemicals,Elva Cruickshank,LMO/2026/10225,29.038627,77.051620,Failed,Electronic Counter Scale
DuBuque - DuBuque Logistics Hub,Burnice Kuhic,LMO/2026/10226,29.580080,77.003365,Pending,Non-Automatic Weighing Instrument
Pouros Group Dairy & Sweets,Glenda Harris,LMO/2026/10227,28.292902,77.011934,Pending,Electronic Counter Scale
Grimes Kozey and Schultz Cotton Ginning Mill,Consuelo Wolff,LMO/2026/10228,29.480555,76.707957,Passed,Platform Scale
Emmerich Group Fuel Station,Carli Nikolaus,LMO/2026/10229,29.733356,77.485630,Passed,Electronic Weighing Scale
Bahringer - Hilll Pharma Labs,Isaias Larkin,LMO/2026/10230,28.423366,76.763961,Failed,Flow Meter
Collier-Funk Deckow and Herman Grain Market Depot,Raven Satterfield,LMO/2026/10231,28.978021,76.583894,Passed,Crane Scale
Altenwerth - Mueller General Trading Co,Miss Aiyana Bailey,LMO/2026/10232,29.716202,76.415513,Passed,Electronic Weighing Scale
Ankunding - Auer Pharma Labs,Conner Bayer,LMO/2026/10233,28.522690,77.415639,Pending,Flow Meter
Bahringer - Rohan Cold Storage,May Rolfson,LMO/2026/10234,28.334260,77.370353,Passed,Automatic Gravimetric Filling Scale
Frami-Osinski Heller and Franey Cotton Ginning Mill,Keyon Heaney,LMO/2026/10235,28.758563,76.944444,Pending,Fuel Dispenser
Beatty Bogan and Marquardt Dairy & Sweets,Hubert Christiansen,LMO/2026/10236,28.379114,77.203215,Passed,Fuel Dispenser
Kuhn - Parker Pharma Labs,Jenifer Leannon,LMO/2026/10237,28.797497,77.497233,Passed,Platform Scale
Considine Group Pharma Labs,Augustus Fritsch,LMO/2026/10238,29.511784,76.821608,Pending,Automatic Gravimetric Filling Scale
Bailey LLC Hardware & Steel Depot,Lucio Conroy,LMO/2026/10239,28.954593,77.342906,Failed,Platform Scale
Bednar Inc Jewellers,Jasmine Walsh,LMO/2026/10240,28.625606,77.054259,Passed,Fuel Dispenser
Bode Wiegand and Corkery Dairy & Sweets,Petra Trantow Sr.,LMO/2026/10241,28.450376,76.702535,Passed,Non-Automatic Weighing Instrument
Nienow Schmitt and Feeney Cotton Ginning Mill,Lorena Hodkiewicz,LMO/2026/10242,28.533620,76.364716,Passed,Non-Automatic Weighing Instrument
Flatley - Bergnaum Fertilizers & Agro Chemicals,Mr. Noe Skiles,LMO/2026/10243,29.237779,77.481097,Pending,Platform Scale
Schowalter - Cruickshank Fertilizers & Agro Chemicals,Bert Lind,LMO/2026/10244,28.470762,76.854302,Pending,Fuel Dispenser
Schaden Group Dairy & Sweets,Genevieve Herzog-Zieme,LMO/2026/10245,28.895715,77.475963,Pending,Platform Scale
King Deckow and Klocko Jewellers,Eladio Kling,LMO/2026/10246,29.297183,77.118332,Passed,Non-Automatic Weighing Instrument
Ruecker Group Flour Mill,Dr. Camren Medhurst,LMO/2026/10247,29.025314,77.004845,Failed,Analytical Precision Balance
Blick McGlynn and Rutherford Pharma Labs,Dr. Garret Rodriguez,LMO/2026/10248,29.255742,77.205043,Pending,Crane Scale
Durgan Gusikowski and Legros Logistics Hub,Opal Howell,LMO/2026/10249,28.786456,76.892486,Pending,Automatic Gravimetric Filling Scale
Satterfield and Sons Logistics Hub,Jacey Berge,LMO/2026/10250,28.793327,77.204907,Passed,Crane Scale
O'Kon Inc Cotton Ginning Mill,Winston Langworth,LMO/2026/10251,29.469905,77.051125,Pending,Crane Scale
Rohan Wilderman-Ledner and Schiller Grain Market Depot,Donnie Torp III,LMO/2026/10252,29.702766,77.392790,Passed,Non-Automatic Weighing Instrument
Stehr Muller and Olson Flour Mill,Freeda Aufderhar,LMO/2026/10253,29.575442,76.896205,Pending,Platform Scale
Wolff Sanford and Lockman Cold Storage,Terrill Hartmann,LMO/2026/10254,28.585269,77.112551,Failed,Flow Meter
Prosacco Ferry and Hickle Kirana Store,Idell Walker,LMO/2026/10255,29.232595,76.391185,Pending,Platform Scale
Bruen Inc Logistics Hub,Eino Johnston-Harvey DDS,LMO/2026/10256,29.112121,76.998026,Passed,Weighbridge
Nader LLC Cold Storage,Antonia Blick Sr.,LMO/2026/10257,28.611113,77.207345,Passed,Electronic Counter Scale
Kemmer Little and Glover General Trading Co,Mrs. Adrianna Considine,LMO/2026/10258,28.258907,76.650236,Failed,Platform Scale
Macejkovic - Altenwerth Fertilizers & Agro Chemicals,Arno Boyer,LMO/2026/10259,28.574566,76.568739,Passed,Crane Scale
Bahringer Olson and Sauer Supermarket,Earline Veum,LMO/2026/10260,29.384298,77.170103,Passed,Crane Scale
Fay-Adams - Hoppe Supermarket,Ava Veum,LMO/2026/10261,29.704343,77.310075,Passed,Platform Scale
Paucek Inc Logistics Hub,Miss Raina Wuckert,LMO/2026/10262,28.787104,77.440895,Failed,Non-Automatic Weighing Instrument
Upton - Collier Kirana Store,Conor Feeney,LMO/2026/10263,29.137515,76.949226,Passed,Non-Automatic Weighing Instrument
Gibson Inc Kirana Store,Camren White,LMO/2026/10264,29.653863,76.556121,Passed,Electronic Counter Scale
Hayes - Hammes-McClure Logistics Hub,Willow Goodwin,LMO/2026/10265,28.864886,76.572149,Pending,Non-Automatic Weighing Instrument
Becker and Sons Dairy & Sweets,Elias Stiedemann PhD,LMO/2026/10266,29.018203,76.835062,Pending,Electronic Counter Scale
Wunsch and Sons Flour Mill,Madaline Kessler,LMO/2026/10267,28.169319,77.157868,Failed,Automatic Gravimetric Filling Scale
Lueilwitz - Schultz Cold Storage,Savanah Erdman-Wehner DDS,LMO/2026/10268,29.065276,76.815778,Passed,Analytical Precision Balance
Ruecker Group Dairy & Sweets,Rey Senger,LMO/2026/10269,28.622173,77.451349,Passed,Fuel Dispenser
Boehm Dickens and Gusikowski Dairy & Sweets,Michale Maggio DDS,LMO/2026/10270,29.178640,76.421175,Pending,Platform Scale
Rau Inc Grain Market Depot,Dr. Gabriella Zemlak,LMO/2026/10271,28.743272,77.194562,Passed,Weighbridge
Wunsch and Sons Flour Mill,Kianna Shanahan,LMO/2026/10272,28.925257,77.479578,Pending,Non-Automatic Weighing Instrument
Block-Bradtke - Batz Kirana Store,Jeramie Doyle,LMO/2026/10273,28.828208,77.030921,Passed,Fuel Dispenser
Skiles Kilback-Hirthe and Pfeffer Flour Mill,Tim Moen,LMO/2026/10274,28.234463,76.396696,Pending,Electronic Weighing Scale
Dooley - Murazik Supermarket,Emery Dickens DDS,LMO/2026/10275,28.561062,76.799612,Failed,Non-Automatic Weighing Instrument
Gutmann Funk and Friesen Flour Mill,Alberta Huels IV,LMO/2026/10276,28.640969,77.032882,Passed,Analytical Precision Balance
Hauck - Becker Pharma Labs,Deborah Graham,LMO/2026/10277,28.881643,77.471310,Pending,Fuel Dispenser
Cremin Group Fertilizers & Agro Chemicals,Alena Nolan Sr.,LMO/2026/10278,28.479592,76.456704,Passed,Non-Automatic Weighing Instrument
Kunze Reichert and Nader-Strosin Cotton Ginning Mill,Francesco Dicki,LMO/2026/10279,28.821206,76.938860,Pending,Crane Scale
Halvorson Hammes and Howell Pharma Labs,Arch Deckow,LMO/2026/10280,28.774277,76.923917,Failed,Platform Scale
Denesik LLC Cold Storage,Berry Bergnaum,LMO/2026/10281,28.827730,77.151643,Passed,Automatic Gravimetric Filling Scale
Mraz - Kohler-Stoltenberg Hardware & Steel Depot,Sage MacGyver,LMO/2026/10282,29.227743,76.963760,Passed,Flow Meter
Goodwin Johnson and Tremblay Grain Market Depot,Tasha Harris,LMO/2026/10283,28.521252,77.095926,Pending,Fuel Dispenser
Weber - Hahn Grain Market Depot,Demarco Grant,LMO/2026/10284,29.125680,77.211927,Pending,Platform Scale
Becker and Sons Hardware & Steel Depot,Roel Dickinson,LMO/2026/10285,29.090206,77.115793,Failed,Automatic Gravimetric Filling Scale
Lockman Franecki and Reinger Supermarket,Moshe Lebsack,LMO/2026/10286,29.148803,77.175905,Passed,Crane Scale
Upton - Morissette Cotton Ginning Mill,Dean Ondricka,LMO/2026/10287,29.686751,76.543866,Failed,Fuel Dispenser
Bins-Crist LLC Fertilizers & Agro Chemicals,Delphine Quitzon,LMO/2026/10288,29.469469,76.404817,Passed,Platform Scale
Schmeler Roob and Johns Cotton Ginning Mill,Reuben Weber,LMO/2026/10289,28.227173,76.571967,Pending,Electronic Counter Scale
Hudson-Corkery Glover and Bechtelar General Trading Co,Dorothea Gutkowski,LMO/2026/10290,28.258251,76.985606,Passed,Analytical Precision Balance
Treutel - Ritchie Pharma Labs,Rae Blick,LMO/2026/10291,28.991331,77.263930,Pending,Non-Automatic Weighing Instrument
Little-McKenzie Beahan and Steuber Kirana Store,Lauretta Gibson,LMO/2026/10292,29.321135,76.769985,Pending,Non-Automatic Weighing Instrument
Wiza Bailey and Beatty Supermarket,Orie Crist,LMO/2026/10293,28.261785,76.464955,Passed,Crane Scale
Bartell Walsh and Carter Cotton Ginning Mill,Ike Funk,LMO/2026/10294,28.741201,76.698388,Passed,Flow Meter
Conn LLC Jewellers,Skye Terry,LMO/2026/10295,28.420907,77.169270,Passed,Flow Meter
O'Keefe Group Kirana Store,Wyatt Runolfsson,LMO/2026/10296,29.601342,77.001552,Pending,Platform Scale
Cruickshank - Lesch Cotton Ginning Mill,Joann Hudson,LMO/2026/10297,28.375143,77.410802,Passed,Electronic Counter Scale
McClure LLC Dairy & Sweets,Mrs. Lucie Buckridge,LMO/2026/10298,28.331499,77.061405,Failed,Electronic Counter Scale
Ankunding - Stanton Fuel Station,Alyson Mayer,LMO/2026/10299,29.057982,76.814480,Passed,Crane Scale
Wisozk Collins and Collins Pharma Labs,Bryant Rowe MD,LMO/2026/10300,29.043132,76.601118,Passed,Flow Meter
Lesch - Leannon Logistics Hub,Tillman Ortiz,LMO/2026/10301,29.299778,77.437044,Passed,Crane Scale
Aufderhar Group Supermarket,Milford Hudson DDS,LMO/2026/10302,28.162534,77.032611,Passed,Flow Meter
Friesen and Sons Grain Market Depot,Emmalee Raynor MD,LMO/2026/10303,28.274385,76.448692,Failed,Electronic Weighing Scale
Weimann Monahan and Cronin Cold Storage,Lulu Corwin,LMO/2026/10304,28.517527,76.809196,Pending,Automatic Gravimetric Filling Scale
Walsh and Sons Fertilizers & Agro Chemicals,Mariane Gottlieb Sr.,LMO/2026/10305,29.311953,77.005125,Passed,Fuel Dispenser
Homenick - Kerluke-Schmidt Pharma Labs,Nick Erdman,LMO/2026/10306,28.929404,76.688190,Pending,Automatic Gravimetric Filling Scale
Hettinger - Boyer Logistics Hub,Germaine Boyle DVM,LMO/2026/10307,29.622307,77.206703,Passed,Weighbridge
Johns - Schmitt Hardware & Steel Depot,Gracie Hayes,LMO/2026/10308,28.616701,77.305563,Failed,Flow Meter
Veum - Altenwerth Supermarket,Kailee Johns,LMO/2026/10309,28.507152,76.739943,Passed,Crane Scale
Runolfsson Group Cold Storage,Ines Hane,LMO/2026/10310,28.516452,76.621271,Failed,Electronic Weighing Scale
Orn - Kohler Kirana Store,Edmund Bradtke,LMO/2026/10311,29.040143,76.370273,Passed,Flow Meter
Howe - Considine General Trading Co,Jaren Hackett,LMO/2026/10312,29.237257,76.880500,Passed,Crane Scale
Gerlach LLC Fertilizers & Agro Chemicals,Nyah Torp,LMO/2026/10313,29.536155,77.368341,Pending,Non-Automatic Weighing Instrument
Kutch Auer and Senger Fertilizers & Agro Chemicals,Leo Beer,LMO/2026/10314,29.682934,76.549317,Passed,Weighbridge
Wiegand Rath and Wehner Logistics Hub,Arlo Wisozk,LMO/2026/10315,29.087891,76.438166,Passed,Electronic Weighing Scale
Considine - Hessel Cotton Ginning Mill,Vesta Jacobson,LMO/2026/10316,28.303939,76.743216,Pending,Weighbridge
Farrell - Abernathy Fuel Station,Giovanni Hilpert DDS,LMO/2026/10317,28.247961,76.916613,Passed,Platform Scale
Roberts - Bednar General Trading Co,Nichole Bosco,LMO/2026/10318,29.231549,76.574262,Failed,Platform Scale
Ledner Inc Jewellers,Jaylin Baumbach,LMO/2026/10319,29.172348,76.755997,Passed,Automatic Gravimetric Filling Scale
Braun Group Dairy & Sweets,Bryce Rosenbaum Jr.,LMO/2026/10320,28.343489,76.855743,Pending,Analytical Precision Balance
Ledner and Sons General Trading Co,Burdette Bernhard,LMO/2026/10321,29.453727,77.112814,Passed,Automatic Gravimetric Filling Scale
Ortiz Waelchi and Hand Supermarket,Ottilie McDermott,LMO/2026/10322,29.151930,77.408813,Pending,Electronic Counter Scale
Ullrich Williamson and Blanda Fertilizers & Agro Chemicals,Derek Carter,LMO/2026/10323,29.555837,77.058162,Pending,Automatic Gravimetric Filling Scale
Kulas LLC Cold Storage,Sierra Nitzsche,LMO/2026/10324,29.274529,76.628039,Passed,Weighbridge
Adams Cartwright and Gerlach Logistics Hub,Jed Marks,LMO/2026/10325,28.822422,76.476303,Pending,Fuel Dispenser
Farrell Group Dairy & Sweets,Cornelius Green-Schroeder,LMO/2026/10326,29.348545,76.590343,Failed,Weighbridge
Stokes Smith and Shanahan Dairy & Sweets,Clare Block,LMO/2026/10327,28.291405,76.707757,Pending,Automatic Gravimetric Filling Scale
Walsh - Spencer-Boyle Jewellers,Weldon Blick,LMO/2026/10328,29.186969,76.908639,Pending,Fuel Dispenser
Jerde and Sons Dairy & Sweets,Elna Nikolaus,LMO/2026/10329,28.515154,77.147330,Passed,Flow Meter
Schmitt and Sons General Trading Co,Jovany Kertzmann,LMO/2026/10330,28.957558,76.363652,Pending,Non-Automatic Weighing Instrument
Langosh Group Pharma Labs,Timothy Witting I,LMO/2026/10331,29.104138,77.223082,Passed,Weighbridge
Wolf Feest and Runolfsdottir Logistics Hub,Elisabeth Kovacek III,LMO/2026/10332,28.926965,77.156068,Passed,Analytical Precision Balance
Auer Jacobs and Satterfield Jewellers,Amya Bergstrom,LMO/2026/10333,28.709090,76.753368,Pending,Electronic Counter Scale
Kuhic and Sons Supermarket,Destiny Nolan,LMO/2026/10334,28.398421,77.264682,Passed,Electronic Counter Scale
Lockman - Hamill Fuel Station,Odell Wiegand,LMO/2026/10335,28.994564,77.134489,Passed,Analytical Precision Balance
Considine LLC Dairy & Sweets,Yvette Stoltenberg,LMO/2026/10336,28.720484,77.117601,Failed,Platform Scale
Lueilwitz - Cassin-Kulas Fuel Station,Everett Towne III,LMO/2026/10337,28.498627,76.945146,Pending,Analytical Precision Balance
Haag White and Rath Fuel Station,Jamir Olson DDS,LMO/2026/10338,29.070031,77.445992,Pending,Electronic Counter Scale
Dibbert Group Jewellers,Rex Mayer,LMO/2026/10339,28.796206,76.547706,Passed,Fuel Dispenser
Toy Inc Cold Storage,Alexandrine Jones,LMO/2026/10340,28.501910,76.779350,Pending,Electronic Weighing Scale
Aufderhar Kuphal and Lakin General Trading Co,Mr. Forest Walsh,LMO/2026/10341,29.612007,76.703795,Passed,Weighbridge
Hintz-Pacocha Group Grain Market Depot,Hailey Willms,LMO/2026/10342,29.284453,76.865681,Failed,Flow Meter
Lebsack LLC Logistics Hub,Jayde Keeling,LMO/2026/10343,28.595984,76.474257,Pending,Fuel Dispenser
Pollich - Heller Pharma Labs,Mr. Eliezer Rogahn,LMO/2026/10344,28.928105,76.550097,Pending,Weighbridge
Luettgen Ankunding-Hane and Brown Grain Market Depot,Mario Heidenreich-Satterfield,LMO/2026/10345,29.508965,77.068415,Failed,Crane Scale
Turner - Kessler General Trading Co,Miss Essie Moen DDS,LMO/2026/10346,28.721447,77.488058,Pending,Electronic Weighing Scale
Satterfield - Prohaska Fuel Station,Lorine Collins,LMO/2026/10347,29.636352,76.491876,Passed,Non-Automatic Weighing Instrument
Donnelly Group Supermarket,Xavier Kirlin,LMO/2026/10348,29.281312,77.037289,Passed,Crane Scale
Feeney Group Supermarket,Pierce Wisoky,LMO/2026/10349,28.732498,77.099783,Passed,Electronic Weighing Scale
Windler - Parisian Supermarket,Randi Kulas Jr.,LMO/2026/10350,29.157299,76.873173,Passed,Electronic Weighing Scale
Effertz Group Fuel Station,Vickie Koelpin MD,LMO/2026/10351,29.514746,76.905136,Pending,Electronic Counter Scale
Hirthe McLaughlin and Gorczany Supermarket,Korbin Mills,LMO/2026/10352,29.705419,77.399411,Passed,Analytical Precision Balance
Crist-Johns Inc Cold Storage,Mr. Webster Reichel,LMO/2026/10353,28.299359,77.397882,Pending,Electronic Weighing Scale
Quitzon LLC Pharma Labs,Raphael Grimes,LMO/2026/10354,29.127391,77.152888,Passed,Analytical Precision Balance
Nikolaus - Kreiger Flour Mill,Dianne O'Reilly DDS,LMO/2026/10355,29.045805,76.696163,Failed,Platform Scale
Leuschke and Sons Kirana Store,Trever Bode,LMO/2026/10356,29.034322,76.715483,Passed,Fuel Dispenser
Beahan LLC Grain Market Depot,Maybelle Shanahan,LMO/2026/10357,28.639058,76.850880,Passed,Electronic Weighing Scale
Wintheiser - Bernier Supermarket,Mr. Buford Yost-Hegmann,LMO/2026/10358,28.534313,77.487456,Failed,Automatic Gravimetric Filling Scale
Schowalter Stamm and Johns General Trading Co,Cassandra Deckow,LMO/2026/10359,28.764800,76.848037,Passed,Fuel Dispenser
Howell - Bergnaum Kirana Store,Deangelo Prohaska DVM,LMO/2026/10360,29.122348,76.640228,Passed,Flow Meter
Romaguera - Fahey Pharma Labs,Moshe Hintz,LMO/2026/10361,28.413586,76.696321,Passed,Platform Scale
Ernser Swift and Towne Hardware & Steel Depot,Roberta Cummings,LMO/2026/10362,28.551767,76.629814,Pending,Crane Scale
Wintheiser and Sons Flour Mill,Rachel Kuphal I,LMO/2026/10363,29.034571,77.462211,Passed,Non-Automatic Weighing Instrument
Bayer - McLaughlin Kirana Store,Edwin Klocko,LMO/2026/10364,28.840254,77.482265,Passed,Automatic Gravimetric Filling Scale
Bins - Crooks-Ritchie Jewellers,Keyshawn Turner,LMO/2026/10365,29.230566,76.540518,Passed,Automatic Gravimetric Filling Scale
Jacobi Toy and Rolfson-Cremin Cold Storage,Judd Windler,LMO/2026/10366,28.688341,76.428851,Passed,Crane Scale
Toy - Friesen Fertilizers & Agro Chemicals,Miss Skyla Marquardt,LMO/2026/10367,28.798926,77.341239,Passed,Electronic Counter Scale
Romaguera and Sons Kirana Store,Erin Reilly,LMO/2026/10368,29.574121,76.910263,Passed,Weighbridge
Wisozk Feeney and Osinski Flour Mill,Joel Ankunding,LMO/2026/10369,28.789785,76.367335,Passed,Non-Automatic Weighing Instrument
Rutherford - Smitham Hardware & Steel Depot,Reba Nienow,LMO/2026/10370,29.349199,76.861299,Failed,Automatic Gravimetric Filling Scale
Franecki Huels and Hickle Cold Storage,Haley Roob,LMO/2026/10371,28.468063,76.417231,Passed,Automatic Gravimetric Filling Scale
Mitchell - Wiegand Dairy & Sweets,Karli Bailey-Wiegand Sr.,LMO/2026/10372,28.281407,76.418001,Passed,Automatic Gravimetric Filling Scale
Bayer Inc Hardware & Steel Depot,Mr. Monroe Leannon,LMO/2026/10373,29.703635,77.074603,Passed,Platform Scale
Kiehn Ullrich and Beier Flour Mill,Lenna Brekke,LMO/2026/10374,29.239967,76.764313,Passed,Weighbridge
Schultz Lehner and Robel Fertilizers & Agro Chemicals,Dr. Fabian Quitzon,LMO/2026/10375,29.359100,77.322554,Passed,Non-Automatic Weighing Instrument
Kassulke - Beahan Cold Storage,Ron Fahey,LMO/2026/10376,29.676022,76.562064,Pending,Flow Meter
Bahringer and Sons Flour Mill,Woodrow Williamson,LMO/2026/10377,28.164469,76.851793,Pending,Crane Scale
Champlin Runolfsson and Schmeler Pharma Labs,Kristin Grimes,LMO/2026/10378,28.579194,76.938444,Passed,Analytical Precision Balance
Purdy Morissette and Abshire Flour Mill,Mr. Maxie Howell,LMO/2026/10379,28.505139,77.274817,Passed,Electronic Weighing Scale
Hermiston Bechtelar-Price and Ziemann Cold Storage,Mr. Irving Kassulke,LMO/2026/10380,29.694739,76.923374,Failed,Automatic Gravimetric Filling Scale
Botsford LLC Supermarket,Diamond Schuppe,LMO/2026/10381,29.719891,77.185582,Passed,Flow Meter
Krajcik and Sons General Trading Co,Kayleigh Schoen,LMO/2026/10382,29.633466,76.523435,Pending,Automatic Gravimetric Filling Scale
Roob Kulas and Becker Fertilizers & Agro Chemicals,Kolby Hackett,LMO/2026/10383,28.614340,77.482437,Passed,Weighbridge
Weimann Champlin and Fisher Cold Storage,Kathryn Welch,LMO/2026/10384,28.728136,76.781010,Passed,Flow Meter
Padberg LLC Flour Mill,Kaylah Bayer,LMO/2026/10385,29.184096,76.633364,Passed,Weighbridge
Gerhold Inc Grain Market Depot,Elenora Keeling,LMO/2026/10386,29.646433,77.121380,Pending,Electronic Counter Scale
Gibson Mitchell and Keebler Fuel Station,Jody Gerhold,LMO/2026/10387,28.508217,76.504450,Pending,Electronic Counter Scale
Spencer LLC Cold Storage,Mayra Gerhold,LMO/2026/10388,29.678167,76.953087,Failed,Electronic Counter Scale
Kuvalis Grady and Wisoky Pharma Labs,Nella Emmerich,LMO/2026/10389,28.666725,76.451411,Pending,Crane Scale
Graham - Baumbach Fertilizers & Agro Chemicals,Grant Ankunding,LMO/2026/10390,29.509101,77.202403,Passed,Non-Automatic Weighing Instrument
Hagenes - Koch Supermarket,Geneva Hammes,LMO/2026/10391,28.410101,77.119596,Passed,Electronic Counter Scale
Franey Inc Jewellers,Schuyler Huels,LMO/2026/10392,29.387295,76.868142,Pending,Electronic Weighing Scale
Dickinson Runte and White Jewellers,Cedrick Hermiston,LMO/2026/10393,28.372320,77.452513,Passed,Non-Automatic Weighing Instrument
Bartell - Powlowski Pharma Labs,Lillie Dibbert,LMO/2026/10394,28.887071,76.568416,Passed,Platform Scale
DuBuque - Reynolds Cotton Ginning Mill,Walton Walker,LMO/2026/10395,29.444826,77.417707,Pending,Weighbridge
Doyle Bode and Stiedemann Fertilizers & Agro Chemicals,Nora Koch,LMO/2026/10396,29.458291,77.259999,Passed,Non-Automatic Weighing Instrument
Anderson - Pouros Flour Mill,Augusta Halvorson,LMO/2026/10397,29.304510,77.387479,Passed,Flow Meter
Lowe Hills and Feeney Grain Market Depot,Susie Yundt,LMO/2026/10398,28.561122,77.449757,Passed,Weighbridge
Crist - Pfeffer Logistics Hub,Arden Thompson,LMO/2026/10399,29.053326,77.436980,Passed,Automatic Gravimetric Filling Scale
Huel Inc Flour Mill,Janice Gusikowski,LMO/2026/10400,28.766693,77.342237,Pending,Electronic Weighing Scale
Abshire and Sons Logistics Hub,Mr. Bryon Dicki,LMO/2026/10401,28.273844,76.528971,Passed,Crane Scale
Schmidt Parisian and Koelpin Jewellers,Meghan Berge,LMO/2026/10402,28.241420,77.431687,Failed,Non-Automatic Weighing Instrument
Schulist - Morar Grain Market Depot,Cheyanne Boyle,LMO/2026/10403,29.722993,76.582729,Passed,Non-Automatic Weighing Instrument
Murphy LLC Cotton Ginning Mill,Eda Hills-Jacobi,LMO/2026/10404,29.727487,76.949453,Pending,Fuel Dispenser
Hudson - Predovic Dairy & Sweets,Dr. Dorthy Corwin,LMO/2026/10405,28.332061,77.117738,Pending,Non-Automatic Weighing Instrument
Russel and Sons Fertilizers & Agro Chemicals,Annabell Stiedemann,LMO/2026/10406,28.297281,77.076631,Passed,Non-Automatic Weighing Instrument
Langworth - Hilpert Dairy & Sweets,Pablo Spinka,LMO/2026/10407,29.402830,76.979317,Pending,Crane Scale
Kshlerin Group Kirana Store,Vidal Rohan,LMO/2026/10408,28.623479,77.209718,Pending,Crane Scale
Haag Group Cotton Ginning Mill,Anna Roberts,LMO/2026/10409,29.701974,76.909072,Passed,Electronic Counter Scale
Schumm-Waters - Goldner Logistics Hub,Elmira Harber,LMO/2026/10410,28.390132,76.448180,Pending,Weighbridge
Becker-Blanda Paucek and Medhurst Grain Market Depot,Allan Bogan I,LMO/2026/10411,28.501679,77.013566,Failed,Analytical Precision Balance
Mosciski Kris and Lesch-Greenfelder Dairy & Sweets,Clair Shields,LMO/2026/10412,28.628631,76.644748,Failed,Weighbridge
Watsica Keeling and Schmidt Pharma Labs,Uriah Durgan,LMO/2026/10413,29.182446,76.895975,Pending,Electronic Counter Scale
Brakus Thiel and Rath Dairy & Sweets,Garrison Bartell,LMO/2026/10414,28.158200,77.364087,Failed,Analytical Precision Balance
Streich LLC Jewellers,Vanessa Maggio,LMO/2026/10415,29.513052,77.427292,Passed,Automatic Gravimetric Filling Scale
Daugherty Cole and Wintheiser Flour Mill,Marilie Spencer,LMO/2026/10416,28.953748,77.262218,Passed,Platform Scale
Bradtke Group Flour Mill,Mr. Marc Hansen,LMO/2026/10417,29.056912,76.644644,Passed,Electronic Counter Scale
Stiedemann - Mueller Cotton Ginning Mill,Kathryn O'Kon,LMO/2026/10418,29.530743,77.433805,Failed,Non-Automatic Weighing Instrument
Lubowitz and Sons Logistics Hub,Therese Schuppe,LMO/2026/10419,28.613705,76.407402,Passed,Analytical Precision Balance
Harber - Runolfsdottir Pharma Labs,Micaela Schultz,LMO/2026/10420,29.003195,77.259219,Failed,Crane Scale
Reynolds and Sons Grain Market Depot,Amber Huels,LMO/2026/10421,28.643826,77.487086,Failed,Fuel Dispenser
Abernathy LLC Hardware & Steel Depot,Regina Crist,LMO/2026/10422,29.480328,77.338903,Passed,Electronic Counter Scale
Wehner - Hagenes General Trading Co,Tavares Shields,LMO/2026/10423,28.641544,76.755972,Passed,Electronic Counter Scale
Kunde and Sons Cotton Ginning Mill,Timothy Mills IV,LMO/2026/10424,28.627301,76.753137,Passed,Electronic Weighing Scale
Satterfield Inc Grain Market Depot,Theodora Boehm,LMO/2026/10425,28.816126,76.490212,Passed,Crane Scale
Douglas-Douglas - Dickens Fuel Station,Mrs. Regan Windler,LMO/2026/10426,28.237914,76.846717,Passed,Weighbridge
Emard Hartmann and Vandervort Jewellers,Miss Cheyanne Zemlak,LMO/2026/10427,29.575637,76.762213,Failed,Platform Scale
Homenick LLC Cotton Ginning Mill,Sonya Barton,LMO/2026/10428,28.991997,76.370263,Failed,Flow Meter
Pfeffer Inc Jewellers,Wilhelm Marks,LMO/2026/10429,28.186518,76.829799,Passed,Electronic Counter Scale
Roob LLC Logistics Hub,Shelia Lueilwitz,LMO/2026/10430,29.262906,77.126428,Failed,Non-Automatic Weighing Instrument
Walsh Morissette and Tremblay General Trading Co,Karley Boyer,LMO/2026/10431,28.278734,76.830894,Passed,Flow Meter
Gerlach - Steuber Flour Mill,Ilene Herzog,LMO/2026/10432,28.206245,77.010949,Passed,Non-Automatic Weighing Instrument
Tremblay Batz and Harvey Fuel Station,Nikko Halvorson,LMO/2026/10433,29.671418,76.846146,Pending,Automatic Gravimetric Filling Scale
Kovacek-Stokes - Quigley Pharma Labs,Abe Johns,LMO/2026/10434,29.342817,76.680185,Pending,Platform Scale
Wisozk - McGlynn Pharma Labs,Lottie Yost,LMO/2026/10435,29.463133,76.424187,Passed,Automatic Gravimetric Filling Scale
Gislason Inc Dairy & Sweets,Moshe Von,LMO/2026/10436,29.074984,76.854273,Pending,Automatic Gravimetric Filling Scale
Rau Inc Supermarket,Deshaun Koss,LMO/2026/10437,28.217177,76.706334,Passed,Electronic Counter Scale
